"name","category","prices/lowestPrice","prices/prices/0/availability","prices/prices/0/buyLink","prices/prices/0/currency","prices/prices/0/merchant","prices/prices/0/price","prices/prices/1/availability","prices/prices/1/buyLink","prices/prices/1/currency","prices/prices/1/merchant","prices/prices/1/price","prices/prices/2/availability","prices/prices/2/buyLink","prices/prices/2/currency","prices/prices/2/merchant","prices/prices/2/price","ratings/averageRating","ratings/numberOfRatings","ratings/percentages/1*","ratings/percentages/2*","ratings/percentages/3*","ratings/percentages/4*","ratings/percentages/5*","specifications/CAS Latency","specifications/Color","specifications/ECC / Registered","specifications/First Word Latency","specifications/Form Factor","specifications/Heat Spreader","specifications/Manufacturer","specifications/Model","specifications/Modules","specifications/Part #","specifications/Part #/0","specifications/Part #/1","specifications/Price / GB","specifications/Speed","specifications/Timing","specifications/Voltage","reviews","url"
"Kingston FURY Beast 16 GB (2 x 8 GB) DDR4-3600 CL17 Memory","Memory","87","Available soon","https://www.amazon.com/dp/B097K54WGV?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","87",,,,,,,,,,,,,,,,,,"17","Black","Non-ECC / Unbuffered","9.444 ns","288-pin DIMM (DDR4)","Yes","Kingston",,"2 x 8GB","KF436C17BBK2/16",,,"$5.438","DDR4-3600",,"1.35 V",,"https://pcpartpicker.com/product/DBH7YJ/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3600-cl17-memory-kf436c17bbk216"
"Kingston FURY Beast 64 GB (2 x 32 GB) DDR5-5200 CL40 Memory","Memory","469.1","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F39372-64gb-kingston-fury-beast-ddr5-5200mhz-cl40-dual-channel-kit-2-x-32gb.html","$","memoryc","469.1",,,,,,,,,,,,,,,,,,"40","Black","Non-ECC / Unbuffered","15.385 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 32GB","KF552C40BBK2-64",,,"$7.331","DDR5-5200",,"1.25 V",,"https://pcpartpicker.com/product/D6zhP6/kingston-fury-beast-64-gb-2-x-32-gb-ddr5-5200-cl40-memory-kf552c40bbk2-64"
"Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-5200 CL40 Memory","Memory","273.3","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F43116-32gb-kingston-fury-beast-rgb-5200mhz-ddr5-cl40-dual-channel-kit-2x-16gb.html","$","memoryc","273.3","In stock","https://www.amazon.com/dp/B0B1QP3FKQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","279.9",,,,,,"4","2","0%","0%","50%","0%","50%","40","Black","Non-ECC / Unbuffered","15.385 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF552C40BBAK2-32",,,"$8.541","DDR5-5200",,"1.25 V",,"https://pcpartpicker.com/product/gpwypg/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-5200-cl40-memory-kf552c40bbak2-32"
"Kingston FURY Renegade 16 GB (1 x 16 GB) DDR5-6400 CL32 Memory","Memory",,,,,,,,,,,,,,,,,,,,,,,,"32","White / Silver","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"1 x 16GB","KF564C32RWA-16",,,,"DDR5-6400",,"1.4 V",,"https://pcpartpicker.com/product/ZFsV3C/kingston-fury-renegade-16-gb-1-x-16-gb-ddr5-6400-cl32-memory-kf564c32rwa-16"
"Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory","Memory","249.9","Out of stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-beast-32gb-ddr5-6000-cas-latency-cl30-memory-black%2Fp%2FN82E16820242860%3Fitem%3DN82E16820242860","$","newegg","249.9",,,,,,,,,,,"5","22","0%","0%","0%","0%","100%","30","Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF560C30BBEK2-32",,,"$7.812","DDR5-6000",,"1.4 V",,"https://pcpartpicker.com/product/q7LdnQ/kingston-fury-beast-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kf560c30bbek2-32"
"Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-5600 CL40 Memory","Memory","329.9","In stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-beast-32gb-ddr5-5600-cas-latency-cl40-memory-black%2Fp%2F0RM-001W-00680%3Fitem%3D0RM-001W-00680","$","newegg","329.9","In stock","https://www.amazon.com/dp/B0B1QQHL42?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","356.4",,,,,,"5","3","0%","0%","0%","0%","100%","40","Black","Non-ECC / Unbuffered","14.286 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF556C40BBAK2-32",,,"$10.312","DDR5-5600",,"1.25 V",,"https://pcpartpicker.com/product/QBnypg/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-5600-cl40-memory-kf556c40bbak2-32"
"Kingston FURY Beast 16 GB (2 x 8 GB) DDR5-5200 CL40 Memory","Memory","169.9","In stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-kf552c40bbk2-16-16gb-ddr5-5200-cas-latency-cl40-memory-black%2Fp%2F0RN-001J-013N0%3Fitem%3D0RN-001J-013N0","$","newegg","169.9","In stock","https://www.amazon.com/dp/B09T97ZSVB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","183.9","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F39381-16gb-kingston-fury-beast-ddr5-5200mhz-cl40-dual-channel-kit-2-x-8gb.html","$","memoryc","195.2","4.6","8","0%","0%","12%","13%","75%","40","Black","Non-ECC / Unbuffered","15.385 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 8GB","KF552C40BBK2-16",,,"$10.624","DDR5-5200",,"1.25 V",,"https://pcpartpicker.com/product/hbJgXL/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-kf552c40bbk2-16"
"Kingston FURY Beast 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory","Memory","224.9","Available soon","https://www.awin1.com/cread.php?awinmid=91785&awinaffid=127079&ued=https%3A%2F%2Fwww.memoryc.com%2F36552-32gb-kingston-technology-fury-beast-3600mhz-ddr4-dual-memory-kit-2-x-16gb.html","$","memoryc","224.9","In stock","https://www.amazon.com/dp/B097K4QKQK?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","239.4",,,,,,"4.3","6","17%","0%","0%","0%","83%","18","Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR4)","Yes","Kingston",,"2 x 16GB","KF436C18BBK2/32",,,"$7.030","DDR4-3600",,"1.35 V",,"https://pcpartpicker.com/product/hsWzK8/kingston-fury-beast-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-kf436c18bbk232"
"Kingston Fury Renegade RGB 32 GB (2 x 16 GB) DDR5-6400 CL32 Memory","Memory","368.9","In stock","https://www.amazon.com/dp/B0B72BM63Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","368.9",,,,,,,,,,,"5","2","0%","0%","0%","0%","100%","32","Silver / Black","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 16GB","KF564C32RSAK2-32",,,"$11.531","DDR5-6400",,"1.4 V",,"https://pcpartpicker.com/product/DTLFf7/kingston-fury-renegade-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-kf564c32rsak2-32"
"Kingston FURY Beast RGB 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory","Memory","519.9","Out of stock","https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fkingston-technology-corp-fury-beast-64gb-ddr5-6000-cas-latency-cl30-memory-white%2Fp%2FN82E16820242867%3Fitem%3DN82E16820242867","$","newegg","519.9","In stock","https://www.amazon.com/dp/B0CYM1HV7C?tag=pcpapi-20&linkCode=ogi&th=1&psc=1","$","amazon","692.4",,,,,,"4.5","4","0%","0%","0%","50%","50%","30","White","Non-ECC / Unbuffered","10 ns","288-pin DIMM (DDR5)","Yes","Kingston",,"2 x 32GB","KF560C30BWEAK2-64",,,"$10.819","DDR5-6000",,"1.4 V",,"https://pcpartpicker.com/product/DMkH99/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-kf560c30bweak2-64"
